name,ring,split,azimuth_deg,elevation_deg,sha256
low_006.jpg,low,train,95.08,7.93,f44b0469e468d91f62d5d348a255b47c75e9479163bb3e60f9dc4a0263d320e5
low_007.jpg,low,train,80.48,13.81,d99afa42d511884cd991bb36ceae4046d242f4f13a4640f0b50a5134e86272b3
low_008.jpg,low,train,69.94,10.52,2a1b9ca2bce1f899339612668b56ba5b806f549265eacce4d0d7cfe6c18fdfde
low_009.jpg,low,train,42.95,10.92,a48f1b4e628cd29e4f6221983f61bdbb9d32141742da6bc00a5b53120a53b39b
low_010.jpg,low,holdout,21.44,9.56,08fd98eb94b72a88ade36d7511d0c395f9bf5271b05fcf4840571265a1e0f2fe
low_011.jpg,low,train,359.17,11.02,762c75d0e53a08f3f1e55486dc8998bf7bc44a9c9853dfccae1757b833cdf910
low_012.jpg,low,train,339.83,10.96,11188a2434afed4d3f700120a012411714e90c0d98c8c5d4d18c4845ac7197b2
low_013.jpg,low,train,322.42,20.65,b447bd5f0dfc2176e402b6a94ff26d39d3c9a031b53e24b79d9192158fb2b621
low_014.jpg,low,train,310.75,15.65,27c4668d027964a0576706947da4846a8b0e2d3a1bf3ec9e38663ecaedfdf48b
low_015.jpg,low,train,279.55,16.97,943f1608a6f43177bf7835930013a693191660c27f08292079f68d9155373dcc
low_016.jpg,low,holdout,254.05,20.78,ebfb40d989fe0199b7abebaf1e2da4deb097374eaa08756fb63ca71c84d15a2a
low_017.jpg,low,train,240.59,20.93,50d8eaaba1e5fc355b3995a96c0bfd221d10678abf07fc0a4490e1bb305d5cb5
low_018.jpg,low,train,226.13,22.6,2278422ee073e367f6a1c3d196d9d97c2ee5db6b43e522568870f027d6c44606
low_019.jpg,low,train,208.24,21.59,1ee5a79f03e228f3bad24620057670d96c9bf156364723467790f9e361573459
mid_001.jpg,mid,train,200.57,42.12,e714891748b060b5e96175af1f931627836826b43b00dae8ef6be483b20c77d4
mid_002.jpg,mid,train,188.66,46.45,47985debd4535dc1394bd5a0add4dd7a65861b2602922ce610b2cd061881b12e
mid_003.jpg,mid,train,181.82,43.99,269c5e566ec60dc2ded9515603d417f72bfeef25bb18049a2abb9fa01a232631
mid_004.jpg,mid,train,175.61,42.56,5a44ce49d5eb4fcedf849fe1a7c759e2bf0bf9b50d9d694ea015f27b0151e5db
mid_005.jpg,mid,train,169.42,42.82,8e0351adde6d94a59162c0a51f3f1ec6b903d2eaf08e70587f2f9c22fd4736a7
mid_006.jpg,mid,holdout,162.2,44.42,5fcd1a01a09e53032bb99317c1cb3c4668310b455be3dbec23b4d600d5523c2b
mid_007.jpg,mid,train,151.75,44.52,4842b9758cb22381afa681945713a5846c6a7701469fd78fc673e38d78d1ced6
mid_008.jpg,mid,train,147.99,43.72,17ba148a2edb857df26ff4fb7f6dd0887430a089bc7966ba2f2cd19d392225a1
mid_009.jpg,mid,train,145.89,43.12,bd38d9fbdf8686f240f06d0eef07b2250b16c93c2ee48f3dccd97c961e164380
mid_010.jpg,mid,train,118.36,43.42,5b2c1ddc0710b061e94601d470f8b6eec393d962d876004908818ab642d6b5ca
mid_011.jpg,mid,train,108.54,41.72,08a582c5618f2f2c25577be48f95e922e575979ff0a5bb92f07e8b3766c1ef68
mid_012.jpg,mid,train,104.82,44.11,644cbe0e238f2ebc711b4b84e0bc1b9585b0d50c80725f2edf0f86ab207f6740
mid_013.jpg,mid,train,102.28,43.77,eb4ab77cb5be595d2ae9fcf55b97f022e091f274a67b8f24d38f95fe3605e742
mid_014.jpg,mid,holdout,93.15,44.03,84dff5f7e48a536c8c3ee68cd3d4bd7ec3a96993ddafd086634778a80aeef8b6
mid_015.jpg,mid,train,87.51,42.38,3ed8efe7a4aa8ade3a922e684bc455463f553184b6c65cfc12341a82ed1dc00e
mid_016.jpg,mid,train,74.33,42.73,5fadc2cf015fa91452b25447fb92a42339237c41b5e4523255ffe2cd3f82d95b
mid_017.jpg,mid,train,64.4,42.11,afa639a7ac4e70c2cc6dce50648c2dea646a1a1af7dfcc5fe2da1f7d8c2ec59a
mid_018.jpg,mid,train,52.49,40.09,6aa4e0159eb2abb20880516b900dff2d9722ce3e0e0cf275a87693714c3d8e77
mid_019.jpg,mid,train,25.82,44.95,72c92753f2dbd655a258ca5f3a32cbf9b3200462ffabfc517fd8af4c8e9ef523
mid_020.jpg,mid,train,10.19,45.38,b17e2047953779c942abd121f9511377f057ba785d866cc8c4117daf2ccfef88
mid_021.jpg,mid,holdout,3.44,42.93,f1e3d6d029f043326a4a7e8cbb4935360c100a5ef715ca0217be84ceefabb39a
mid_022.jpg,mid,train,355.16,43.55,8e321a71cb51a6fac246b75b2a556140095afa7ae262219b1b1cbea77b5f0ad9
mid_023.jpg,mid,train,346.88,43.78,9b78938d78c8863f2a08b8eb36156833d7627d9623aad49c84c6d4b91b90ad98
mid_024.jpg,mid,train,334.46,46.69,da57a345080bf9a797e9f3d788a07be2643d1ca214e53cacc1ec8c6b94728764
mid_025.jpg,mid,train,329.76,42.7,9a407ac013eaae8f6052104ef263a41b87aa32380d7ec4d47fc1e7e9b9fba8c9
mid_026.jpg,mid,train,320.6,42.32,d771a4e00dc64465d1950587146f837d35f4c5ddd0f5fdef0f8da2fe7ab53b85
mid_027.jpg,mid,train,316.75,41.64,5d7bfedcb355c9bec81f1c76d32205f9bfbf807a07e4dd3b9f7fa20ef3c8d3b3
mid_028.jpg,mid,holdout,290.45,34.14,cd716e227aff99a938c6559f9598f63ea8388f5b1436a5523b1265935f24c676
mid_029.jpg,mid,train,277.46,36.08,d36187c389aa3a654333161d818d278d5ea20551048eebf318a9169b3b74ad8c
mid_030.jpg,mid,train,268.81,36.41,529c5aa2ab89d86e534364c4cac697f1ec2cfe7e5645ca34c990a542322ae287
mid_031.jpg,mid,train,261.7,35.45,359df82ea139a95b71cd196fe37b3aa8d68d3f39dd9091f446ce51455a332cb2
mid_032.jpg,mid,train,251.1,33.6,4e0977abe1e59ba2520eed78feba63afe9f22aff0338d3c9d6f22e98365b23ff
mid_033.jpg,mid,train,245.71,33.77,d0cfb7421732f7412db7b43150ff370cddb6e23d3e2cb1e2cb4de021df867524
mid_034.jpg,mid,train,235.86,34.57,fde2c060eef17c1a45947bb5a17cbdf6cc08a4c3467ae8310e66939c69234bbc
mid_035.jpg,mid,train,226.94,35.15,c1479be92613acae8e769e5d2531a878ee5191cc5969ac4b338a3cd32e4fe9fe
mid_036.jpg,mid,holdout,219.02,34.27,f30572f9df32b0fb2a79617502aa180fa240cbe616d4cec3cd936610504edc86
mid_037.jpg,mid,train,198.78,27.42,9d32d59faf38d1a3433e7e23f94b688e6322bf635161ae4a836deb3c616d0fc1
top_001.jpg,top,train,245.92,48.86,15fc225907b99d952a2bd178ed872eb3cdbcdb6fe9014a192eb67a65a3982ace
top_002.jpg,top,train,168.74,44.73,d2e2f178022b9c5137d940976439972c5bb6ad49cf9852ad4723a2974f4a77fa
top_003.jpg,top,train,144.69,46.48,93274f99e2326cf97225944f9890041840606698fa319bd1873539b78c6c60d7
top_004.jpg,top,train,97.78,48.11,253c8a0f2827a2c6b8ffea02a93db88ffb648be0a0a19afd2fbcdfbee92c6ade
top_005.jpg,top,holdout,62.91,47.33,588f83a22422ea15ca28352a0baaa9b24c9f940c44c96b6a84ec811e95850622
top_006.jpg,top,train,346.81,32.19,a3d54e30810fb5b9270e7e46fbe050a17297a36620d6ef11a88186977c53d9ed
top_007.jpg,top,train,316.69,36.29,74210ba9544d232e9f115d06cabeb4c18fb1c20f000bbeb9d136964eb40860bb
top_008.jpg,top,train,276.99,35.69,e0e94058c596810f9ba0ffe495044834b931aebe97ea19f9bf161136e30f40d3
